,C16orf13,TSKS,GOLGA6B,LOC441204,FAM183B,CHST9,HERC2P2,MYO3A,SBF1P1,RPL31,NSUN2,DNAJB13,GALNTL6,LGALS4,LOC162632,BMP3,ATP5C1,ZNF510,GRIN2C,TAS2R10,SNORA62,CCDC144A,GPR120,SPATA24,PDE11A,FUNDC2P2,ENO1,SLC22A14,FAM3A,NACA2,TMEM108,DPF1,KRT1,CRYGN,C4orf14,TYRP1,NAP1L5,ADAM12,PPP1R2P1,PCSK5,OR2A4,ZNF114,LOC121952,URB1,TEX12,MAGT1,G0S2,CLIC6,ACOT8,ADCY2,XRCC2,ESPNL,LOC100144603,FAM106A,COX7B,CYFIP1,GUSBP1,GTPBP1,PCDHA3,LYRM7,C22orf46,CLPP,LOC100128164,GDI1,KCNC3,PGM5P2,SLC35F3,HEPACAM2,UBE2MP1,KIAA1324L,C4orf27,C2orf68,ZNF470,TTC30A,ZMYND11,TPH1,PDZD3,VSIG8,PRO0628,DAP,MKI67IP,C1orf230,KLHL17,CCT6B,CKB,PTGS1,CBLN2,PAR1,LOC151009,GAL,ZSCAN5B,CLEC4M,PCDH9,CISH,TRA2A,EMR4P,MAP9,PELO,ATP10A,TAC1,GPR63,CXorf58,HIST1H2BJ,RAB8B,NR6A1,ARL17B,NXT2,ZADH2,UNC45B,GDF15,LEF1,C20orf111,SIM1,GLRX,ISPD,CBFA2T2,FAM184A,PBXIP1,C14orf64,TRUB1,NKX6-1,C10orf140,KIAA1407,ZC3H12A,C1QTNF9,C11orf42,TAS2R3,CRYBA1,SH2D4B,CCT7,CHMP4C,LRRC4,LOC647859,NONO,SULT1C2,CD84,SSH3,CASP12,FAM19A2,LRRC17,LRG1,HP1BP3,NOL4,NEK10,NBPF22P,ADAM32,CD300E,VEZF1,TK2,HOTAIR,PAX6,PAX3,LRCH1,PSMA7,CP,KCNJ2,NIP7,POM121,C3orf33,SCML2,TAF1D,ACAN,NRIP3,FLJ13224,RENBP,IFRD2,CCBE1,C6orf81,GRIN3A,FGFBP2,DBF4B,C16orf46,PON1,GSTM2,DUSP13,C20orf20,NAP1L6,IBSP,ZNF253,ZBTB44,ANGPTL1,SP140L,BLK,GSTM2P1,PROM1,SLC41A2,TPM1,RASL10B,SNORA59B,PCDHGB5,FLJ14107,KBTBD11,LOC400696,LOC149837,DUSP5P,SERGEF,DEGS1,C1orf144,IL17B,ZNF440,CBX2,NLRP9,FAM22G,SLC12A5,HTR1F,IL9R,HIST1H4C,LOC80154,MTIF3,RSL1D1,AHCTF1,MANBA,ZBTB32,AFP,RASGRP4,MCART2,F2RL1,WDR66,C1orf228,MTPAP,ACADS,CD209,CYP4F22,RPL21,LOC100132247,EYA4,RBPJ,KLRC3,PROX2,TMPRSS9,METTL10,ENOX1,ANO3,POLR1D,DHRS9,NOMO3,SCIN,TIMM17A,LSM3,SPOCK1,C9orf72,LOC339535,NOX1,C21orf62,RHCE,PPP3R2,CTAGE6,PTGER1,OR9A4,FAM48B2,CDH7,DHX35,PNLIPRP2,LOC649330,CASC2,GSC,PAWR,HMGXB3,ZFP36L1,CLDN10,CLDN11,SYNGR4,LCE3A,PCDHB19P,SLC5A8,PRO0611,EFCAB2,GRTP1,LOC100128573,ABCA7,C11orf54,NLGN4X,BCAR1,FAM181B,GPT,C14orf176,ETV7,FAM8A1,FAM5C,DNASE2B
TCGA-BH-A1FN,-1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,-1,0,-1,0,-1,0,0,0,0,0,0,1,-1,-1,0,-1,0,0,1,1,-1,0,1,0,1,0,0,0,-1,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,0,1,0,1,0,0,0,-1,0,0,0,-1,1,1,0,0,0,1,-1,0,1,0,0,0,-1,0,1,1,0,0,1,0,0,0,0,1,-1,0,-1,0,0,1,0,1,1,0,0,0,0,0,0,0,-1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,-1,0,0,0,0,1,-1,0,-1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,-1,0,1,-1,0,0,0,0,0,0,0
TCGA-E2-A15K,0,1,-1,0,-1,1,1,0,0,1,-1,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,-1,0,-1,-1,1,0,0,1,-1,0,-1,1,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,-1,0,0,1,0,-1,0,0,1,0,0,1,0,0,0,-1,0,0,1,0,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,0,1,0,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,-1,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,1,0,0,0,-1,0,-1,0,0,1,0,1,1,-1,0,1,0,0,0,-1,-1,0,0,0,-1,0,0,1,1,1,0,0,0,-1,1,1,0,1,0,0,1,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,-1,0,1,1,1,-1,0,0,0,-1,0,0,0,0,-1,0,1,1,1,0,0,0,0,0
TCGA-4H-AAAK,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,-1,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
TCGA-A7-A13E,0,1,1,-1,1,0,-1,-1,0,-1,1,0,-1,0,1,0,1,0,0,0,0,0,1,0,-1,0,1,0,0,-1,-1,0,-1,0,0,-1,0,0,0,-1,0,-1,-1,1,0,-1,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,-1,1,0,0,1,0,0,0,-1,0,-1,-1,1,0,0,0,-1,-1,0,1,0,0,0,-1,-1,0,0,0,0,-1,1,1,0,-1,1,0,0,0,0,-1,-1,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,1,0,0,0,1,1,-1,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,0,1,0,0,0,0,-1,0,-1,0,0,-1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,-1,0,0,-1,0,0,0,0,-1,-1,0,1,-1,-1,1,1,-1,-1,0,-1,-1,0,-1,0,0,0,1,1,0,0,-1,0,-1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,-1,-1,0,0,0,-1,-1,0,-1,-1,1,0,-1,0,-1,0,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,1,0,-1,-1,0,0,0,1,-1,0,-1,1,0,0,0,1,0
TCGA-B6-A0RG,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,1,0,0,0,0,1,-1,-1,0,0,0,-1,0,0,-1,-1,0,1,0,0,1,0,0,1,0,0,0,1,0,-1,0,0,1,0,-1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,0,-1,0,-1,0,-1,-1,0,0,1,0,-1,-1,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,-1,0,1,0,1,0,0,1,0,0,-1,0,-1,-1,0,0,0,1,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,1,1,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,1,1,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,-1,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,1,1,0,0,0,0,0,-1,-1,1,0,0,0,0
TCGA-AR-A1AQ,0,-1,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,-1,0,0,1,0,-1,1,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,0,1,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0,0,0,-1,0,0,-1,0,1,1,0,1,0,-1,0,0,0,-1,-1,1,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,-1,0,0,0,0,1,1,1,1,0,0,1,0,0,-1,0,0,-1,-1,0,1,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,-1,0,1,0,0,-1,0,0,0,1,0,0,0,-1,0,-1,-1,0,-1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,-1,0,0,0,0,0,-1,1,1,-1,0,0,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1,-1,0,0,0,0,0,1,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,1,-1,1,-1,0,0
TCGA-A8-A07W,0,-1,-1,0,0,0,-1,-1,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,1,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,-1,-1,-1,1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,0,0,-1,-1,0,0,1,0,-1,-1,-1,1,0,1,0,0,-1,0,0,0,-1,0,0,1,0,-1,0,1,0,0,0,0,1,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,-1,0,0,1,0,0,0,0,-1,0,-1,0,0,0,1,0,0,-1,0,0,1,1,0,-1,1,0,0,1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,1,-1,0,0,-1,0,1,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
TCGA-5L-AAT0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,1,1,-1,0,1,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,0,0,0,-1,-1,0,1,0,0,0,0,0,0,1,-1,1,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
TCGA-BH-A0BA,0,-1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,-1,0,0,0,1,1,0,0,0,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,-1,0,0,1,0,0,0,0,-1,0,1,0,1,0,0,-1,-1,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,0,0,1,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,-1,0,0,-1,1,0,0,-1,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,1,0,0,0,0,1,0,1,-1,0,0,1,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,1,1
TCGA-A7-A0D9,-1,0,0,0,0,0,0,0,1,-1,1,-1,0,0,1,0,0,0,0,1,0,1,-1,0,0,-1,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,-1,0,0,1,-1,-1,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,0,0,0,0,-1,0,-1,1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,1,0,0,0,-1,1,0,1,-1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,1,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,1,-1,1,0,0,0,0,0,0,0,-1,-1,0,0,0
TCGA-AC-A2FE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-1,0,0,0,1,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TCGA-AN-A0XL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,-1,-1,0,1,0
TCGA-AO-A0JE,1,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,-1,-1,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,-1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-1,0,0,1,1,0,0,1,1,0,0,0,1,0,-1,0,1,0,0,0,1,0,0,0,1,-1,0,1,0,-1,0,1,0,0,-1,0,1,0,0,0,1,-1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,1,0,1,1,1,0,1,1
TCGA-A2-A4S2,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,-1,0,-1,0,-1,-1,0,-1,1,1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,-1,0,0,1,-1,0,-1,0,0,0,1,0,0,-1,0,1,1,-1,0,0,0,0,0,0,1,1,1,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,1,0,0,0,0,0,-1,0,-1,0,1,0,-1,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,-1,0,0,-1,0,1,0,1,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,-1,0,1,0,1,0,1,1,0,0,0,0,0,1,-1,0,1,-1,0,1,0,0,0,1,0,0,0
TCGA-E9-A1R4,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,-1,0,0,0,0,0,0,-1,0,1,0,0,0,1,0,-1,-1,0,1,0,0,0,1,0,0,-1,0,1,-1,0,0,0,0,0,1,1,0,-1,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,1,1,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-1,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,0,0,0,1,-1,0,1,0,0,-1,0,0,0,0,0,1,0,1,0,0,1,1,-1,0,0,0,0,0,-1,-1,0,-1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,-1,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,1,0,0,1,0,0,0
TCGA-AC-A3HN,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,1,-1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
TCGA-E9-A1R3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,1,-1,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,1,0,0,-1,0,-1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,1,0,0,0,0,0,1
TCGA-AQ-A54N,1,1,-1,-1,1,1,0,-1,-1,1,1,1,-1,1,0,0,1,-1,0,0,0,-1,0,1,-1,0,0,1,1,1,1,0,-1,1,1,-1,0,-1,-1,-1,-1,-1,-1,0,1,-1,0,-1,1,0,0,1,0,-1,1,-1,1,0,-1,-1,-1,0,-1,0,1,-1,0,-1,0,-1,0,0,0,-1,0,0,1,0,-1,0,0,-1,1,0,0,0,-1,-1,1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,-1,-1,-1,0,-1,-1,0,0,0,1,0,0,0,1,0,0,-1,-1,0,0,-1,0,1,-1,-1,1,0,-1,0,-1,0,-1,-1,0,1,0,0,1,-1,-1,-1,1,0,-1,-1,0,0,-1,0,0,0,1,0,-1,-1,0,-1,0,0,1,-1,0,0,0,0,0,0,0,-1,0,-1,0,-1,1,-1,-1,1,-1,0,1,1,-1,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,1,0,-1,1,0,0,0,0,0,0,1,1,1,1,-1,-1,0,1,-1,1,0,0,0,1,-1,-1,0,-1,-1,-1,0,0,-1,1,1,1,-1,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,-1,1,-1,-1,1,0,0,0,0,0,-1,0,-1
TCGA-XX-A89A,0,1,0,0,-1,0,1,0,0,0,0,0,0,0,1,1,-1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,1,0,-1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,-1,1,0,0,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TCGA-D8-A27T,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,1,0,1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
